date,site,NOBO,CACH,NOCA,NOMO,COYE,CARW,AMRO,YBCH,BHNU,BLGR,KILL,EATO,YTVI,PABU,INBU,AMCR,FICR,PIWA,BASP,TUTI,CHSP,GCFL,BGGN,EABL,EAWP,RHWO,PIWO,RBWO,WBNU,COGR,BRTH,NOFL,DOWO,BHCO,1,MODO,BLJA,REVI,SUTA,SCTA,YBCU,OROR,WEVI,LAGU,OSPR,NOPA,YTWA,ACFL,RWBL,EAKI,MIKI,RSHA,WOTH,WODU,EUST,HOFI,GRYE,CONI,SNEG,BASW,ESOW,CWWI,PRAW,BTGR,FISP,OCCR,TRES,BHVI,DEJU,ROYT,SNKI,RTHA,GBHE,YEJU,EASO,AMKE,BRSP,ATTW
5/24/22,SP11,,,1,,,1,,1,,,,,,,,1,,1,,1,,1,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,
5/24/22,SP12,,,1,,,1,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/22,SP13,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/22,SP05,,,1,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/22,UP02,1,,1,,,,1,,,1,,,,,,1,,1,1,,,,1,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,
5/31/22,HH50,,,1,,,,,,,1,,1,1,,,,,1,1,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,,,
5/31/22,HH49,,1,1,,1,,,,,1,,,,,1,1,,,,1,,,,,,,1,1,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
5/31/22,HH48,,,1,,1,,,1,,,1,,,,1,1,1,,,1,,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5/31/22,HH46,1,,1,1,1,,,1,,1,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/22,HH45,1,,1,1,1,1,,1,,1,1,,1,,,,,,,,,1,,,1,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5/31/22,HH43,,,1,,1,1,,1,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
5/31/22,HH30,1,,1,1,1,1,1,1,,,,1,,,1,,,1,,1,,1,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/22,SP07,,,1,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/22,UPblue,,1,1,1,,1,,,,1,,1,,,1,1,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/22,SP05,,,1,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
6/1/22,SP16,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/22,SP03,,1,1,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
